id,term,estimate,std.error,statistic,p.value
egg_date,(Intercept),3.454742742397849,0.18038977620091823,19.151544035122892,9.395918452116881e-82
egg_date,.x,0.01118608859702612,0.0016831793182671183,6.645809199071268,3.0155569416148695e-11
egg_min,(Intercept),4.867562362250184,0.07228397180102554,67.33944249285324,0
egg_min,.x,-0.04383800686826889,0.010779460117792506,-4.066809134152291,4.766124761587198e-5
fledge_min,(Intercept),4.7022703311808955,0.051834377704360154,90.71721393088808,0
fledge_min,.x,-0.038721322688290045,0.014970907644815888,-2.5864378838579256,0.009697364745377659
nests,(Intercept),4.890912766543081,0.08139012948628807,60.09221016618558,0
nests,.x,-0.16064293465470905,0.041897005905105325,-3.8342342414290287,1.2595606916633383e-4
clutch,(Intercept),4.858148976871131,0.17377950361522645,27.955822613164965,5.600941314017943e-172
clutch,.x,-0.07756999232026635,0.051432096360791296,-1.508202033534083,0.13150282700491703
